Project,subject_id,Hemisphere,Surface Type,Hausdorff Distance,ASSD,Chamfer Distance,Self-Intersection A_mwrm,Total Triangles A_mwrm,Colored CA VTK Path
freesurfer,227432,lh,pial,NA,NA,NA,2,253109,NA
freesurfer,212116,lh,white,NA,NA,NA,0,242525,NA
freesurfer,211215,lh,white,NA,NA,NA,0,301375,NA
freesurfer,237334,lh,pial,NA,NA,NA,13,233848,NA
freesurfer,236130,lh,pial,NA,NA,NA,22,254050,NA
freesurfer,239944,lh,pial,NA,NA,NA,15,261182,NA
freesurfer,211316,rh,pial,NA,NA,NA,14,211458,NA
freesurfer,214019,lh,white,NA,NA,NA,0,225589,NA
freesurfer,223929,lh,pial,NA,NA,NA,34,362822,NA
freesurfer,211720,lh,white,NA,NA,NA,3,300581,NA
freesurfer,212419,lh,white,NA,NA,NA,0,250994,NA
freesurfer,246133,lh,pial,NA,NA,NA,19,231857,NA
freesurfer,245333,lh,pial,NA,NA,NA,16,229327,NA
freesurfer,212015,lh,white,NA,NA,NA,0,277007,NA
freesurfer,214221,lh,white,NA,NA,NA,0,233481,NA
freesurfer,233326,lh,pial,NA,NA,NA,24,281171,NA
freesurfer,212823,lh,white,NA,NA,NA,0,268002,NA
freesurfer,210617,rh,pial,NA,NA,NA,12,265620,NA
freesurfer,221319,lh,white,NA,NA,NA,0,227956,NA
freesurfer,248339,lh,pial,NA,NA,NA,12,266866,NA
freesurfer,213421,lh,white,NA,NA,NA,0,273289,NA
freesurfer,211114,rh,pial,NA,NA,NA,39,261690,NA
freesurfer,221218,lh,white,NA,NA,NA,0,236217,NA
freesurfer,214625,lh,white,NA,NA,NA,0,261332,NA
freesurfer,217429,lh,white,NA,NA,NA,0,235776,NA
freesurfer,224022,lh,white,NA,NA,NA,0,214132,NA
freesurfer,214524,lh,white,NA,NA,NA,0,265364,NA
freesurfer,210415,rh,white,NA,NA,NA,0,213540,NA
freesurfer,211922,rh,pial,NA,NA,NA,24,245915,NA
freesurfer,212318,rh,pial,NA,NA,NA,36,231263,NA
freesurfer,228434,lh,white,NA,NA,NA,0,227367,NA
freesurfer,217126,lh,white,NA,NA,NA,0,249567,NA
freesurfer,231928,lh,white,NA,NA,NA,0,238236,NA
freesurfer,212217,rh,pial,NA,NA,NA,29,235172,NA
freesurfer,249947,lh,pial,NA,NA,NA,25,241479,NA
freesurfer,214726,lh,white,NA,NA,NA,0,259616,NA
freesurfer,211417,rh,pial,NA,NA,NA,18,248187,NA
freesurfer,220721,lh,white,NA,NA,NA,0,268188,NA
freesurfer,227432,lh,white,NA,NA,NA,0,252324,NA
freesurfer,250427,lh,pial,NA,NA,NA,8,228149,NA
freesurfer,212116,rh,pial,NA,NA,NA,18,245245,NA
freesurfer,237334,lh,white,NA,NA,NA,0,233699,NA
freesurfer,211316,rh,white,NA,NA,NA,0,210662,NA
freesurfer,214019,rh,pial,NA,NA,NA,18,224457,NA
freesurfer,245333,lh,white,NA,NA,NA,0,228628,NA
freesurfer,246133,lh,white,NA,NA,NA,0,231476,NA
freesurfer,236130,lh,white,NA,NA,NA,0,253687,NA
freesurfer,214423,lh,white,NA,NA,NA,0,322569,NA
freesurfer,239944,lh,white,NA,NA,NA,0,260437,NA
freesurfer,211215,rh,pial,NA,NA,NA,9,304920,NA
freesurfer,214221,rh,pial,NA,NA,NA,37,233011,NA
freesurfer,212419,rh,pial,NA,NA,NA,22,247274,NA
freesurfer,212015,rh,pial,NA,NA,NA,28,280235,NA
freesurfer,233326,lh,white,NA,NA,NA,0,280499,NA
freesurfer,211720,rh,pial,NA,NA,NA,15,301439,NA
freesurfer,212823,rh,pial,NA,NA,NA,16,269840,NA
freesurfer,210617,rh,white,NA,NA,NA,0,265892,NA
freesurfer,221319,rh,pial,NA,NA,NA,23,233445,NA
freesurfer,224022,rh,pial,NA,NA,NA,7,216131,NA
freesurfer,221218,rh,pial,NA,NA,NA,44,239728,NA
freesurfer,217429,rh,pial,NA,NA,NA,11,238162,NA
freesurfer,211114,rh,white,NA,NA,NA,0,261872,NA
freesurfer,223929,lh,white,NA,NA,NA,0,361602,NA
freesurfer,248339,lh,white,NA,NA,NA,0,266296,NA
freesurfer,228434,rh,pial,NA,NA,NA,3,223180,NA
freesurfer,212318,rh,white,NA,NA,NA,0,232285,NA
freesurfer,214625,rh,pial,NA,NA,NA,20,261120,NA
