Project,subject_id,Hemisphere,Intersections White-Pial,Total Triangles White,Total Triangles Pial,File white,File pial
freesurfer,214625,lh,0,261332,261835,./freesurfer_214625_A_mwrm_lh_white.stl,./freesurfer_214625_A_mwrm_lh_pial.stl
freesurfer,237334,lh,38,233699,233848,./freesurfer_237334_A_mwrm_lh_white.stl,./freesurfer_237334_A_mwrm_lh_pial.stl
freesurfer,214019,rh,17,225557,224457,./freesurfer_214019_A_mwrm_rh_white.stl,./freesurfer_214019_A_mwrm_rh_pial.stl
freesurfer,211720,lh,68,300581,301469,./freesurfer_211720_A_mwrm_lh_white.stl,./freesurfer_211720_A_mwrm_lh_pial.stl
freesurfer,217126,lh,11,249567,250568,./freesurfer_217126_A_mwrm_lh_white.stl,./freesurfer_217126_A_mwrm_lh_pial.stl
freesurfer,214524,lh,65,265364,266258,./freesurfer_214524_A_mwrm_lh_white.stl,./freesurfer_214524_A_mwrm_lh_pial.stl
freesurfer,246133,lh,1,231476,231857,./freesurfer_246133_A_mwrm_lh_white.stl,./freesurfer_246133_A_mwrm_lh_pial.stl
freesurfer,213421,lh,30,273289,273963,./freesurfer_213421_A_mwrm_lh_white.stl,./freesurfer_213421_A_mwrm_lh_pial.stl
freesurfer,211417,rh,0,248608,248187,./freesurfer_211417_A_mwrm_rh_white.stl,./freesurfer_211417_A_mwrm_rh_pial.stl
freesurfer,245333,lh,81,228628,229327,./freesurfer_245333_A_mwrm_lh_white.stl,./freesurfer_245333_A_mwrm_lh_pial.stl
freesurfer,214726,lh,16,259616,261003,./freesurfer_214726_A_mwrm_lh_white.stl,./freesurfer_214726_A_mwrm_lh_pial.stl
freesurfer,212116,rh,2,246845,245245,./freesurfer_212116_A_mwrm_rh_white.stl,./freesurfer_212116_A_mwrm_rh_pial.stl
freesurfer,227432,lh,18,252324,253109,./freesurfer_227432_A_mwrm_lh_white.stl,./freesurfer_227432_A_mwrm_lh_pial.stl
freesurfer,214221,rh,0,233814,233011,./freesurfer_214221_A_mwrm_rh_white.stl,./freesurfer_214221_A_mwrm_rh_pial.stl
freesurfer,220721,lh,1,268188,268705,./freesurfer_220721_A_mwrm_lh_white.stl,./freesurfer_220721_A_mwrm_lh_pial.stl
freesurfer,236130,lh,71,253687,254050,./freesurfer_236130_A_mwrm_lh_white.stl,./freesurfer_236130_A_mwrm_lh_pial.stl
freesurfer,224022,rh,0,216667,216131,./freesurfer_224022_A_mwrm_rh_white.stl,./freesurfer_224022_A_mwrm_rh_pial.stl
freesurfer,212419,rh,0,248275,247274,./freesurfer_212419_A_mwrm_rh_white.stl,./freesurfer_212419_A_mwrm_rh_pial.stl
freesurfer,221319,rh,0,233933,233445,./freesurfer_221319_A_mwrm_rh_white.stl,./freesurfer_221319_A_mwrm_rh_pial.stl
freesurfer,239944,lh,47,260437,261182,./freesurfer_239944_A_mwrm_lh_white.stl,./freesurfer_239944_A_mwrm_lh_pial.stl
freesurfer,228434,rh,0,222970,223180,./freesurfer_228434_A_mwrm_rh_white.stl,./freesurfer_228434_A_mwrm_rh_pial.stl
freesurfer,221218,rh,23,240129,239728,./freesurfer_221218_A_mwrm_rh_white.stl,./freesurfer_221218_A_mwrm_rh_pial.stl
freesurfer,217429,rh,33,238701,238162,./freesurfer_217429_A_mwrm_rh_white.stl,./freesurfer_217429_A_mwrm_rh_pial.stl
freesurfer,231928,rh,7,240048,240264,./freesurfer_231928_A_mwrm_rh_white.stl,./freesurfer_231928_A_mwrm_rh_pial.stl
freesurfer,212823,rh,3,270836,269840,./freesurfer_212823_A_mwrm_rh_white.stl,./freesurfer_212823_A_mwrm_rh_pial.stl
freesurfer,249947,lh,8,240905,241479,./freesurfer_249947_A_mwrm_lh_white.stl,./freesurfer_249947_A_mwrm_lh_pial.stl
freesurfer,250427,lh,67,228101,228149,./freesurfer_250427_A_mwrm_lh_white.stl,./freesurfer_250427_A_mwrm_lh_pial.stl
freesurfer,237334,rh,0,235468,235789,./freesurfer_237334_A_mwrm_rh_white.stl,./freesurfer_237334_A_mwrm_rh_pial.stl
freesurfer,212015,rh,0,279993,280235,./freesurfer_212015_A_mwrm_rh_white.stl,./freesurfer_212015_A_mwrm_rh_pial.stl
