idx,f1,intersections,pial-traingles,white-traingles
52,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/212419_epoch81_struc2_meshpred.ply,1746,84028,84028
53,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/212823_epoch81_struc2_meshpred.ply,1500,84028,84028
54,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/213421_epoch81_struc2_meshpred.ply,987,84028,84028
55,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/214019_epoch81_struc2_meshpred.ply,1512,84028,84028
56,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/214221_epoch81_struc2_meshpred.ply,1622,84028,84028
57,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/214423_epoch81_struc2_meshpred.ply,1586,84028,84028
58,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/214524_epoch81_struc2_meshpred.ply,1202,84028,84028
59,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/214625_epoch81_struc2_meshpred.ply,1786,84028,84028
60,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/214726_epoch81_struc2_meshpred.ply,1567,84028,84028
61,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/217126_epoch81_struc2_meshpred.ply,1087,84028,84028
62,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/217429_epoch81_struc2_meshpred.ply,1678,84028,84028
63,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/220721_epoch81_struc2_meshpred.ply,1512,84028,84028
64,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/221218_epoch81_struc2_meshpred.ply,1384,84028,84028
65,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/221319_epoch81_struc2_meshpred.ply,1596,84028,84028
66,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/223929_epoch81_struc2_meshpred.ply,1521,84028,84028
67,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/224022_epoch81_struc2_meshpred.ply,1345,84028,84028
68,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/227432_epoch81_struc2_meshpred.ply,1620,84028,84028
69,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/228434_epoch81_struc2_meshpred.ply,1736,84028,84028
70,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/231928_epoch81_struc2_meshpred.ply,1627,84028,84028
71,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/233326_epoch81_struc2_meshpred.ply,1353,84028,84028
72,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/236130_epoch81_struc2_meshpred.ply,1727,84028,84028
73,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/237334_epoch81_struc2_meshpred.ply,1539,84028,84028
74,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/239944_epoch81_struc2_meshpred.ply,1520,84028,84028
75,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/245333_epoch81_struc2_meshpred.ply,1950,84028,84028
76,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/246133_epoch81_struc2_meshpred.ply,1482,84028,84028
77,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/248339_epoch81_struc2_meshpred.ply,1608,84028,84028
78,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/249947_epoch81_struc2_meshpred.ply,1456,84028,84028
79,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/250427_epoch81_struc2_meshpred.ply,1560,84028,84028
80,/data/users2/washbee/speedrun/Vox2Cortex_fork/experiments/hcp/test_template_42016_DATASET_NAME/meshes/lh_pial/epoch81/250932_epoch81_struc2_meshpred.ply,1600,84028,84028
